DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
1,ARIYALUR,3462,ARIYALUR ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGG.,91.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3462,ARIYALUR ENGINEERING COLLEGE,MECHANICAL ENGINEERING,116.75,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3462,ARIYALUR ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGG.,123.5,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3462,ARIYALUR ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGG.,148.5,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3462,ARIYALUR ENGINEERING COLLEGE,CIVIL ENGINEERING,104.75,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3781,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,87.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3781,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,106.75,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3781,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,92.75,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,COMPUTER SCIENCE AND ENGG.,123.25,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,MECHANICAL ENGINEERING,85.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGG.,96.5,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGG.,130.75,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,CIVIL ENGINEERING,82.25,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY,MECHANICAL ENGINEERING,78.75,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY,CIVIL ENGINEERING,106.25,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,COMPUTER SCIENCE AND ENGG.,172.75,151.0,166.5,168.25,111.0,154.75,0.0
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,MECHANICAL ENGINEERING,184.0,177.25,181.25,182.5,150.0,172.75,177.25
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,ELECTRONICS AND COMMUNICATION ENGG.,180.5,155.5,175.0,176.75,148.0,169.25,0.0
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,CIVIL ENGINEERING - TAMIL MEDIUM,87.25,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,MECHANICAL ENGINEERING - TAMIL MEDIUM,103.25,0.0,0.0,0.0,0.0,0.0,0.0
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,ELECTRICAL AND ELECTRONICS ENGG.,178.25,163.75,173.25,175.5,171.0,171.0,0.0
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,CIVIL ENGINEERING,181.5,167.5,177.5,178.25,176.0,170.5,156.0
2,CHENNAI,1321,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,PLASTIC TECHNOLOGY,194.25,190.5,193.0,191.5,168.5,181.75,0.0
2,CHENNAI,1321,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,MANUFACTURING ENGINEERING,193.5,190.25,192.75,191.0,161.75,182.25,166.5
2,CHENNAI,1447,JAWAHAR ENGINEERING COLLEGE,MECHANICAL ENGINEERING,163.25,141.0,141.0,143.75,0.0,130.0,0.0
2,CHENNAI,1447,JAWAHAR ENGINEERING COLLEGE,INFORMATION TECHNOLOGY,107.0,0.0,89.0,89.25,0.0,97.75,0.0
2,CHENNAI,1447,JAWAHAR ENGINEERING COLLEGE,ELECTRONICS AND COMMUNICATION ENGG.,145.0,95.0,102.0,95.5,0.0,111.25,0.0
2,CHENNAI,1447,JAWAHAR ENGINEERING COLLEGE,INDUSTRIAL ENGINEERING,80.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CHENNAI,1447,JAWAHAR ENGINEERING COLLEGE,ELECTRICAL AND ELECTRONICS ENGG.,95.5,0.0,0.0,0.0,0.0,0.0,0.0
2,CHENNAI,1450,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,COMPUTER SCIENCE AND ENGG.,193.0,192.75,192.0,189.5,171.75,180.75,0.0
2,CHENNAI,1450,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,194.25,192.0,192.25,188.25,163.5,176.0,164.25
2,CHENNAI,1450,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,INFORMATION TECHNOLOGY,191.75,190.0,191.0,186.5,144.5,170.25,0.0
2,CHENNAI,1450,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,195.0,189.75,194.0,193.25,177.0,183.75,0.0
