DistCode,District,College Code,College Name,OC,BCM,BC,MBC,SCA,SC,ST
1,ARIYALUR,3462,ARIYALUR ENGINEERING COLLEGE,,,,,,,
1,ARIYALUR,3781,K.K.C COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
1,ARIYALUR,3857,MEENAKSHI RAMASWAMY ENGINEERING COLLEGE,,,,,,,
1,ARIYALUR,3466,NELLIANDAVAR INSTITUTE OF TECHNOLOGY,,,,,,,
1,ARIYALUR,3016,UNIVERSITY COLLEGE OF ENGINEERING  ARIYALUR,,,,,,,
2,CHENNAI,1321,CENTRAL INSTITUTE OF PLASTICS ENGINEERING AND TECHNOLOGY,,,,,,,
2,CHENNAI,1447,JAWAHAR ENGINEERING COLLEGE,,,,,,,
2,CHENNAI,1450,LOYOLA - ICAM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
2,CHENNAI,1509,MEENAKSHI COLLEGE OF ENGINEERING,,,,,,,
2,CHENNAI,1309,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,,,,,,,
2,CHENNAI,2,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - ACT CAMPUS,,,,,,,
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,,,,,,,
3,COIMBATORE,2604,A.S.L. PAULS COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
3,COIMBATORE,2744,ADITHYA INSTITUTE OF TECHNOLOGY,,,,,,,
3,COIMBATORE,2763,AKSHAYA COLLEGE OF ENGINEERING & TECHNOLOGY,,,,,,,
3,COIMBATORE,2367,ARJUN COLLEGE OF TECHNOLOGY,,,,,,,
3,COIMBATORE,2338,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
3,COIMBATORE,2772,C M S COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
3,COIMBATORE,2650,CHRIST THE KING ENGINEERING COLLEGE,,,,,,,
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,,,,,,,
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),,,,,,,
3,COIMBATORE,2349,DHAANISH AHMED INSTITUTE OF TECHNOLOGY,,,,,,,
3,COIMBATORE,2743,DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING,,,,,,,
